tournament_year,player_name,team_country,position,club,dob,age_at_tournament,caps,goals
2018,Vladimir Granat,Russia,DF,Rubin Kazan,1987-05-22,31,12,1
2018,Aleksei Miranchuk,Russia,MF,Lokomotiv Moscow,1995-10-17,22,18,4
2018,Anton Miranchuk,Russia,MF,Lokomotiv Moscow,1995-10-17,22,6,0
2018,Aleksandr Golovin (footballer),Russia,MF,CSKA Moscow,1996-05-30,22,19,2
2018,Yuri Zhirkov,Russia,MF,Zenit Saint Petersburg,1983-08-20,34,84,2
2018,Aleksandr Samedov,Russia,MF,Spartak Moscow,1984-07-19,33,48,7
2018,Vladimir Gabulov,Russia,GK,Club Brugge,1983-10-19,34,10,0
2018,Aleksandr Yerokhin,Russia,MF,Zenit Saint Petersburg,1989-10-13,28,17,0
2018,Artem Dzyuba,Russia,FW,Arsenal Tula,1988-08-22,29,23,11
2018,Igor Smolnikov,Russia,DF,Zenit Saint Petersburg,1988-08-08,29,27,0
2018,Abdullah Al-Mayouf,Saudi Arabia,GK,Al-Hilal,1987-01-23,31,11,0
2018,Mansoor Al-Harbi,Saudi Arabia,DF,Al-Ahli,1987-10-19,30,40,1
2018,Osama Hawsawi,Saudi Arabia,DF,Al-Hilal,1984-03-31,34,135,7
2018,Ali Al-Bulaihi,Saudi Arabia,DF,Al-Hilal,1989-11-21,28,4,0
2018,Omar Hawsawi,Saudi Arabia,DF,Al-Nassr,1985-09-27,32,42,3
2018,Mohammed Al-Breik,Saudi Arabia,DF,Al-Hilal,1992-09-15,25,11,1
2018,Salman Al-Faraj,Saudi Arabia,MF,Al-Hilal,1989-08-01,28,43,3
2018,Yahya Al-Shehri,Saudi Arabia,MF,Leganes,1990-06-26,27,57,8
2018,Hattan Bahebri,Saudi Arabia,MF,Al-Shabab,1992-07-16,25,5,0
2018,Mohammad Al-Sahlawi,Saudi Arabia,FW,Al-Nassr,1987-01-10,31,40,28
2018,Abdulmalek Al-Khaibri,Saudi Arabia,MF,Al-Hilal,1986-03-13,32,36,0
2018,Mohamed Kanno,Saudi Arabia,MF,Al-Hilal,1994-09-22,23,6,1
2018,Yasser Al-Shahrani,Saudi Arabia,DF,Al-Hilal,1992-05-25,26,37,0
2018,Abdullah Otayf,Saudi Arabia,MF,Al-Hilal,1992-08-03,25,16,1
2018,Abdullah Al-Khaibari,Saudi Arabia,MF,Al-Shabab,1996-08-16,21,5,0
2018,Housain Al-Mogahwi,Saudi Arabia,MF,Al-Ahli,1988-03-24,30,18,1
2018,Taisir Al-Jassim,Saudi Arabia,MF,Al-Ahli,1984-07-25,33,132,19
2018,Salem Al-Dawsari,Saudi Arabia,MF,Villarreal,1991-08-19,26,33,4
2018,Fahad Al-Muwallad,Saudi Arabia,FW,Levante,1994-09-14,23,45,10
2018,Muhannad Assiri,Saudi Arabia,FW,Al-Ahli,1986-10-14,31,18,4
2018,Yasser Al-Mosailem,Saudi Arabia,GK,Al-Ahli,1984-02-27,34,32,0
2018,Mohammed Al-Owais,Saudi Arabia,GK,Al-Ahli,1991-10-10,26,6,0
2018,Motaz Hawsawi,Saudi Arabia,DF,Al-Ahli,1992-02-17,26,17,0
2018,Fernando Muslera,Uruguay,GK,Galatasaray,1986-06-16,31,97,0
2018,Jose Gimenez,Uruguay,DF,Atletico Madrid,1995-01-20,23,42,5
2018,Diego Godin,Uruguay,DF,Atletico Madrid,1986-02-16,32,116,8
2018,Guillermo Varela,Uruguay,DF,Penarol,1993-03-24,25,3,0
2018,Carlos Andres Sanchez,Uruguay,MF,Monterrey,1984-12-02,33,36,1
2018,Rodrigo Bentancur,Uruguay,MF,Juventus,1997-06-25,20,7,0
2018,Cristian Rodriguez,Uruguay,MF,Penarol,1985-09-30,32,105,11
2018,Nahitan Nandez,Uruguay,MF,Boca Juniors,1995-12-28,22,12,0
2018,Luis Suarez,Uruguay,FW,Barcelona,1987-01-24,31,98,51
2018,Giorgian De Arrascaeta,Uruguay,FW,Cruzeiro,1994-06-01,24,14,2
2018,Cristhian Stuani,Uruguay,FW,Girona,1986-10-12,31,41,5
2018,Martin Campana,Uruguay,GK,Independiente,1989-05-29,29,1,0
2018,Gaston Silva,Uruguay,DF,Independiente,1994-03-05,24,17,0
2018,Lucas Torreira,Uruguay,MF,Sampdoria,1996-02-11,22,3,0
2018,Matias Vecino,Uruguay,MF,Inter Milan,1991-08-24,26,22,1
2018,Maxi Pereira,Uruguay,DF,Porto,1984-06-08,34,125,3
2018,Diego Laxalt,Uruguay,MF,Genoa,1993-02-07,25,6,0
2018,Maxi Gomez,Uruguay,FW,Celta Vigo,1996-08-14,21,5,0
2018,Sebastian Coates,Uruguay,DF,Sporting CP,1990-10-07,27,30,1
2018,Jonathan Urretaviscaya,Uruguay,FW,Monterrey,1990-03-19,28,4,0
2018,Edinson Cavani,Uruguay,FW,Paris Saint-Germain,1987-02-14,31,101,42
2018,Martin Caceres,Uruguay,DF,Lazio,1987-04-07,31,76,4
2018,Martin Silva,Uruguay,GK,Vasco da Gama,1983-03-25,35,11,0
2018,Alireza Beiranvand,Iran,GK,Persepolis,1992-09-21,25,22,0
2018,Mehdi Torabi,Iran,MF,Saipa,1994-09-10,23,17,4
2018,Ehsan Hajsafi,Iran,DF,Olympiacos,1990-02-25,28,94,6
2018,Rouzbeh Cheshmi,Iran,DF,Esteghlal,1993-07-24,24,10,1
2018,Milad Mohammadi,Iran,DF,Akhmat Grozny,1993-09-29,24,19,0
2018,Saeid Ezatolahi,Iran,MF,Amkar Perm,1996-10-01,21,25,1
2018,Masoud Shojaei,Iran,MF,AEK Athens,1984-06-09,34,74,8
2018,Morteza Pouraliganji,Iran,DF,Al-Sadd,1992-04-19,26,27,2
2018,Omid Ebrahimi,Iran,MF,Esteghlal,1987-09-16,30,30,0
2018,Karim Ansarifard,Iran,FW,Olympiacos,1990-04-03,28,64,17
2018,Vahid Amiri,Iran,MF,Persepolis,1988-04-02,30,36,1
2018,Mohammad Rashid Mazaheri,Iran,GK,Zob Ahan,1989-05-18,29,3,0
2018,Mohammad Reza Khanzadeh,Iran,DF,Padideh,1991-05-11,27,11,1
2018,Saman Ghoddos,Iran,FW,Ostersund,1993-09-06,24,8,1
2018,Pejman Montazeri,Iran,DF,Esteghlal,1983-09-06,34,46,1
2018,Reza Ghoochannejhad,Iran,FW,Heerenveen,1987-09-20,30,43,17
2018,Mehdi Taremi,Iran,FW,Al-Gharafa,1992-07-18,25,26,11
2018,Alireza Jahanbakhsh,Iran,FW,AZ,1993-08-11,24,38,4
2018,Majid Hosseini,Iran,DF,Esteghlal,1996-06-20,21,1,0
2018,Sardar Azmoun,Iran,FW,Rubin Kazan,1995-01-01,23,33,23
2018,Ashkan Dejagah,Iran,FW,Nottingham Forest,1986-07-05,31,46,9
2018,Amir Abedzadeh,Iran,GK,Maritimo,1993-04-26,25,1,0
2018,Ramin Rezaeian,Iran,DF,Oostende,1990-03-21,28,28,2
2018,Yassine Bounou,Morocco,GK,Girona,1991-04-05,27,11,0
2018,Achraf Hakimi,Morocco,DF,Real Madrid,1998-11-04,19,10,1
2018,Hamza Mendyl,Morocco,DF,Lille,1997-10-21,20,13,0
2018,Manuel da Costa (footballer),Morocco,DF,Istanbul Basaksehir,1986-05-06,32,28,1
2018,Medhi Benatia,Morocco,DF,Juventus,1987-04-17,31,57,2
2018,Romain Saiss,Morocco,DF,Wolverhampton Wanderers,1990-03-26,28,24,1
2018,Hakim Ziyech,Morocco,MF,Ajax,1993-03-19,25,18,9
2018,Karim El Ahmadi,Morocco,MF,Feyenoord,1985-01-27,33,51,1
2018,Ayoub El Kaabi,Morocco,FW,RS Berkane,1993-06-25,24,10,11
2018,Younes Belhanda,Morocco,MF,Galatasaray,1990-02-25,28,47,5
2018,Faycal Fajr,Morocco,MF,Getafe,1988-08-01,29,23,2
2018,Munir Mohand Mohamedi,Morocco,GK,Numancia,1989-05-10,29,27,0
2018,Khalid Boutaib,Morocco,FW,Yeni Malatyaspor,1987-04-24,31,18,7
2018,Mbark Boussoufa,Morocco,MF,Al-Jazira,1984-08-15,33,59,7
2018,Youssef Ait Bennasser,Morocco,MF,Caen,1996-07-07,21,14,0
2018,Nordin Amrabat,Morocco,MF,Leganes,1987-03-31,31,44,4
2018,Nabil Dirar,Morocco,DF,Fenerbahce,1986-02-25,32,34,3
2018,Amine Harit,Morocco,MF,Schalke 04,1997-06-18,20,6,0
2018,Youssef En-Nesyri,Morocco,FW,Malaga,1997-06-01,21,16,2
2018,Aziz Bouhaddouz,Morocco,FW,FC St. Pauli,1987-03-30,31,15,3
2018,Sofyan Amrabat,Morocco,MF,Feyenoord,1996-08-21,21,6,0
2018,Ahmed Reda Tagnaouti,Morocco,GK,IR Tanger,1996-04-05,22,2,0
2018,Mehdi Carcela,Morocco,MF,Standard Liege,1989-07-01,28,20,1
2018,Rui Patricio,Portugal,GK,Sporting CP,1988-02-15,30,69,0
2018,Bruno Alves,Portugal,DF,Rangers,1981-11-27,36,96,11
2018,Pepe (footballer,Portugal,DF,Besiktas,1983-02-26,35,95,5
2018,Manuel Fernandes (footballer,Portugal,MF,Lokomotiv Moscow,1986-02-05,32,14,3
2018,Raphael Guerreiro,Portugal,DF,Borussia Dortmund,1993-12-22,24,24,2
2018,Jose Fonte,Portugal,DF,Dalian Yifang,1983-12-22,34,31,0
2018,Cristiano Ronaldo,Portugal,FW,Real Madrid,1985-02-05,33,150,81
2018,Joao Moutinho,Portugal,MF,Monaco,1986-09-08,31,110,7
2018,Andre Silva (footballer,Portugal,FW,Milan,1995-11-06,22,23,12
2018,Joao Mario (Portuguese footballer),Portugal,MF,West Ham United,1993-01-19,25,36,2
2018,Bernardo Silva,Portugal,MF,Manchester City,1994-08-10,23,25,2
2018,Anthony Lopes,Portugal,GK,Lyon,1990-10-01,27,7,0
2018,Ruben Dias,Portugal,DF,Benfica,1997-05-14,21,1,0
2018,William Carvalho,Portugal,MF,Sporting CP,1992-04-07,26,43,2
2018,Ricardo Pereira (footballer),Portugal,DF,Porto,1993-10-06,24,4,0
2018,Bruno Fernandes (footballer,Portugal,MF,Sporting CP,1994-09-08,23,6,1
2018,Goncalo Guedes,Portugal,FW,Valencia,1996-11-29,21,10,3
2018,Gelson Martins,Portugal,FW,Sporting CP,1995-05-11,23,18,0
2018,Mario Rui,Portugal,DF,Napoli,1991-05-27,27,4,0
2018,Ricardo Quaresma,Portugal,FW,Besiktas,1983-09-26,34,77,9
2018,Cedric Soares,Portugal,DF,Southampton,1991-08-31,26,29,1
2018,Beto (footballer,Portugal,GK,Goztepe,1982-05-01,36,14,0
2018,Adrien Silva,Portugal,MF,Leicester City,1989-03-15,29,23,1
2018,David de Gea,Spain,GK,Manchester United,1990-11-07,27,29,0
2018,Dani Carvajal,Spain,DF,Real Madrid,1992-01-11,26,15,0
2018,Gerard Pique,Spain,DF,Barcelona,1987-02-02,31,98,5
2018,Nacho (footballer,Spain,DF,Real Madrid,1990-01-18,28,17,0
2018,Sergio Busquets,Spain,MF,Barcelona,1988-07-16,29,103,2
2018,Andres Iniesta,Spain,MF,Barcelona,1984-05-11,34,127,14
2018,Saul Niguez,Spain,MF,Atletico Madrid,1994-11-21,23,10,0
2018,Koke (footballer,Spain,MF,Atletico Madrid,1992-01-08,26,40,0
2018,Rodrigo (footballer,Spain,FW,Valencia,1991-03-06,27,6,2
2018,Thiago Alcantara,Spain,MF,Bayern Munich,1991-04-11,27,29,2
2018,Lucas Vazquez,Spain,FW,Real Madrid,1991-07-01,26,7,0
2018,Alvaro Odriozola,Spain,DF,Real Sociedad,1995-12-14,22,4,1
2018,Kepa Arrizabalaga,Spain,GK,Athletic Bilbao,1994-10-03,23,1,0
2018,Cesar Azpilicueta,Spain,DF,Chelsea,1989-08-28,28,22,0
2018,Sergio Ramos,Spain,DF,Real Madrid,1986-03-30,32,152,13
2018,Nacho Monreal,Spain,DF,Arsenal,1986-02-26,32,22,1
2018,Iago Aspas,Spain,FW,Celta Vigo,1987-08-01,30,10,5
2018,Jordi Alba,Spain,DF,Barcelona,1989-03-21,29,62,8
2018,Diego Costa,Spain,FW,Atletico Madrid,1988-10-07,29,20,7
2018,Marco Asensio,Spain,MF,Real Madrid,1996-01-21,22,12,0
2018,David Silva,Spain,FW,Manchester City,1986-01-08,32,121,35
2018,Isco,Spain,MF,Real Madrid,1992-04-21,26,28,10
2018,Pepe Reina,Spain,GK,Napoli,1982-08-31,35,36,0
2018,Mathew Ryan,Australia,GK,Brighton & Hove Albion,1992-04-08,26,44,0
2018,Milos Degenek,Australia,DF,Yokohama F. Marinos,1994-04-28,24,18,0
2018,James Meredith (footballer),Australia,DF,Millwall,1988-04-05,30,2,0
2018,Tim Cahill,Australia,FW,Millwall,1979-12-06,38,106,50
2018,Mark Milligan,Australia,DF,Al-Ahli,1985-08-04,32,71,6
2018,Matthew Jurman,Australia,DF,Suwon Samsung Bluewings,1989-12-08,28,4,0
2018,Mathew Leckie,Australia,FW,Hertha BSC,1991-02-04,27,53,8
2018,Massimo Luongo,Australia,MF,Queens Park Rangers,1992-09-25,25,36,5
2018,Tomi Juric,Australia,FW,Luzern,1991-07-22,26,35,8
2018,Robbie Kruse,Australia,FW,VfL Bochum,1988-10-05,29,64,5
2018,Andrew Nabbout,Australia,FW,Urawa Red Diamonds,1992-12-17,25,4,1
2018,Brad Jones (footballer),Australia,GK,Feyenoord,1982-03-19,36,6,0
2018,Aaron Mooy,Australia,MF,Huddersfield Town,1990-09-15,27,34,5
2018,Jamie Maclaren,Australia,FW,Hibernian,1993-07-29,24,6,0
2018,Mile Jedinak,Australia,MF,Aston Villa,1984-08-03,33,76,18
2018,Aziz Behich,Australia,DF,Bursaspor,1990-12-16,27,23,2
2018,Daniel Arzani,Australia,FW,Melbourne City,1999-01-04,19,2,1
2018,Danny Vukovic,Australia,GK,Genk,1985-03-27,33,1,0
2018,Josh Risdon,Australia,DF,Western Sydney Wanderers,1992-07-27,25,8,0
2018,Trent Sainsbury,Australia,DF,Grasshoppers,1992-01-05,26,35,3
2018,Dimitri Petratos,Australia,FW,Newcastle Jets,1992-11-10,25,2,0
2018,Jackson Irvine,Australia,MF,Hull City,1993-03-07,25,19,2
2018,Tom Rogic,Australia,MF,Celtic,1992-12-16,25,37,7
2018,Kasper Schmeichel,Denmark,GK,Leicester City,1986-11-05,31,35,0
2018,Michael Krohn-Dehli,Denmark,MF,Deportivo La Coruna,1983-06-06,35,59,6
2018,Jannik Vestergaard,Denmark,DF,Borussia Monchengladbach,1992-08-03,25,16,1
2018,Simon Kjær,Denmark,DF,Sevilla,1989-03-26,29,78,3
2018,Jonas Knudsen,Denmark,DF,Ipswich Town,1992-09-16,25,3,0
2018,Andreas Christensen,Denmark,DF,Chelsea,1996-04-10,22,16,1
2018,William Kvist,Denmark,MF,Copenhagen,1985-02-24,33,80,2
2018,Thomas Delaney,Denmark,MF,Werder Bremen,1991-09-03,26,27,4
2018,Nicolai Jørgensen,Denmark,FW,Feyenoord,1991-01-15,27,31,8
2018,Christian Eriksen,Denmark,MF,Tottenham Hotspur,1992-02-14,26,78,22
2018,Martin Braithwaite,Denmark,FW,Bordeaux,1991-06-05,27,20,1
2018,Kasper Dolberg,Denmark,FW,Ajax,1997-10-06,20,6,1
2018,Mathias Jørgensen,Denmark,DF,Huddersfield Town,1990-04-23,28,12,0
2018,Henrik Dalsgaard,Denmark,DF,Brentford,1989-07-27,28,11,0
2018,Viktor Fischer,Denmark,FW,Copenhagen,1994-06-09,24,19,3
2018,Jonas Lossl,Denmark,GK,Huddersfield Town,1989-02-01,29,1,0
2018,Jens Stryger Larsen,Denmark,DF,Udinese,1991-02-21,27,13,1
2018,Lukas Lerager,Denmark,MF,Bordeaux,1993-07-12,24,4,0
2018,Lasse Schone,Denmark,MF,Ajax,1986-05-27,32,36,3
2018,Yussuf Poulsen,Denmark,FW,RB Leipzig,1994-06-15,23,28,4
2018,Andreas Cornelius,Denmark,FW,Atalanta,1993-03-16,25,18,4
2018,Frederik Rønnow,Denmark,GK,Brøndby,1992-08-04,25,6,0
2018,Pione Sisto,Denmark,FW,Celta Vigo,1995-02-04,23,14,1
2018,Hugo Lloris,France,GK,Tottenham Hotspur,1986-12-26,31,98,0
2018,Benjamin Pavard,France,DF,VfB Stuttgart,1996-03-28,22,6,0
2018,Presnel Kimpembe,France,DF,Paris Saint-Germain,1995-08-13,22,2,0
2018,Raphael Varane,France,DF,Real Madrid,1993-04-25,25,42,2
2018,Samuel Umtiti,France,DF,Barcelona,1993-11-14,24,19,2
2018,Paul Pogba,France,MF,Manchester United,1993-03-15,25,54,9
2018,Antoine Griezmann,France,FW,Atletico Madrid,1991-03-21,27,54,20
2018,Thomas Lemar,France,FW,Monaco,1995-11-12,22,12,3
2018,Olivier Giroud,France,FW,Chelsea,1986-09-30,31,74,31
2018,Kylian Mbappe,France,FW,Paris Saint-Germain,1998-12-20,19,15,4
2018,Ousmane Dembele,France,FW,Barcelona,1997-05-15,21,12,2
2018,Corentin Tolisso,France,MF,Bayern Munich,1994-08-03,23,9,0
2018,N'Golo Kante,France,MF,Chelsea,1991-03-29,27,24,1
2018,Blaise Matuidi,France,MF,Juventus,1987-04-09,31,67,9
2018,Steven Nzonzi,France,MF,Sevilla,1988-12-15,29,4,0
2018,Steve Mandanda,France,GK,Marseille,1985-03-28,33,27,0
2018,Adil Rami,France,DF,Marseille,1985-12-27,32,35,1
2018,Nabil Fekir,France,FW,Lyon,1993-07-18,24,12,2
2018,Djibril Sidibe (footballer,France,DF,Monaco,1992-07-29,25,17,1
2018,Florian Thauvin,France,FW,Marseille,1993-01-26,25,4,0
2018,Lucas Hernandez,France,DF,Atletico Madrid,1996-02-14,22,5,0
2018,Benjamin Mendy,France,DF,Manchester City,1994-07-17,23,7,0
2018,Alphonse Areola,France,GK,Paris Saint-Germain,1993-02-27,25,0,0
2018,Pedro Gallese,Peru,GK,Veracruz,1990-02-23,28,38,0
2018,Alberto Junior Rodriguez,Peru,DF,Atletico Junior,1984-03-31,34,59,0
2018,Aldo Corzo,Peru,DF,Universitario,1989-05-20,29,25,0
2018,Anderson Santamaria,Peru,DF,Puebla,1992-01-10,26,4,0
2018,Miguel Araujo,Peru,DF,Alianza Lima,1994-10-24,23,7,0
2018,Miguel Trauco,Peru,DF,Flamengo,1992-08-25,25,27,0
2018,Paolo Hurtado,Peru,MF,Vitoria de Guimaraes,1990-07-27,27,31,3
2018,Christian Cueva,Peru,MF,Sao Paulo,1991-11-23,26,44,8
2018,Paolo Guerrero,Peru,FW,Flamengo,1984-01-01,34,88,34
2018,Jefferson Farfan,Peru,FW,Lokomotiv Moscow,1984-10-26,33,84,25
2018,Raul Ruidiaz,Peru,FW,Morelia,1990-07-25,27,30,4
2018,Carlos Caceda,Peru,GK,Deportivo Municipal,1991-09-27,26,4,0
2018,Renato Tapia,Peru,MF,Feyenoord,1995-07-28,22,23,1
2018,Andy Polo,Peru,MF,Portland Timbers,1994-09-29,23,17,1
2018,Christian Ramos,Peru,DF,Veracruz,1988-11-04,29,66,3
2018,Wilder Cartagena,Peru,MF,Veracruz,1994-09-23,23,3,0
2018,Luis Advincula,Peru,DF,Lobos BUAP,1990-03-02,28,65,0
2018,Andre Carrillo,Peru,FW,Watford,1991-06-14,27,45,5
2018,Yoshimar Yotun,Peru,MF,Orlando City,1990-04-07,28,73,2
2018,Edison Flores,Peru,FW,AaB,1994-05-14,24,29,9
2018,Jose Carvallo,Peru,GK,UTC,1986-03-01,32,6,0
2018,Nilson Loyola,Peru,DF,Melgar,1994-10-26,23,3,0
2018,Pedro Aquino,Peru,MF,Lobos BUAP,1995-04-13,23,13,0
2018,Nahuel Guzman,Argentina,GK,UANL,1986-02-10,32,6,0
2018,Gabriel Mercado,Argentina,DF,Sevilla,1987-03-18,31,20,3
2018,Nicolas Tagliafico,Argentina,DF,Ajax,1992-08-31,25,4,0
2018,Cristian Ansaldi,Argentina,DF,Torino,1986-09-20,31,5,0
2018,Lucas Biglia,Argentina,MF,Milan,1986-01-30,32,57,1
2018,Federico Fazio,Argentina,DF,Roma,1987-03-17,31,9,1
2018,Ever Banega,Argentina,MF,Sevilla,1988-06-29,29,62,6
2018,Marcos Acuna,Argentina,DF,Sporting CP,1991-10-28,26,10,0
2018,Gonzalo Higuain,Argentina,FW,Juventus,1987-12-10,30,71,31
2018,Lionel Messi,Argentina,FW,Barcelona,1987-06-24,30,124,64
2018,Angel Di Maria,Argentina,MF,Paris Saint-Germain,1988-02-14,30,94,19
2018,Franco Armani,Argentina,GK,River Plate,1986-10-16,31,0,0
2018,Maximiliano Meza,Argentina,MF,Independiente,1992-12-15,25,2,0
2018,Javier Mascherano,Argentina,DF,Hebei China Fortune,1984-06-08,34,143,3
2018,Enzo Perez,Argentina,MF,River Plate,1986-02-22,32,23,1
2018,Marcos Rojo,Argentina,DF,Manchester United,1990-03-20,28,56,2
2018,Nicolas Otamendi,Argentina,DF,Manchester City,1988-02-12,30,54,4
2018,Eduardo Salvio,Argentina,DF,Benfica,1990-07-13,27,9,0
2018,Sergio Aguero,Argentina,FW,Manchester City,1988-06-02,30,85,37
2018,Giovani Lo Celso,Argentina,MF,Paris Saint-Germain,1996-04-09,22,5,0
2018,Paulo Dybala,Argentina,FW,Juventus,1993-11-15,24,12,0
2018,Cristian Pavon,Argentina,MF,Boca Juniors,1996-01-21,22,5,0
2018,Willy Caballero,Argentina,GK,Chelsea,1981-09-28,36,3,0
2018,Dominik Livakovic,Croatia,GK,Dinamo Zagreb,1995-01-09,23,1,0
2018,Sime Vrsaljko,Croatia,DF,Atletico Madrid,1992-01-10,26,35,0
2018,Ivan Strinic,Croatia,DF,Sampdoria,1987-07-17,30,43,0
2018,Ivan Perisic,Croatia,FW,Inter Milan,1989-02-02,29,66,18
2018,Vedran Corluka,Croatia,DF,Lokomotiv Moscow,1986-02-05,32,99,4
2018,Dejan Lovren,Croatia,DF,Liverpool,1989-07-05,28,39,2
2018,Ivan Rakitic,Croatia,MF,Barcelona,1988-03-10,30,92,14
2018,Mateo Kovacic,Croatia,MF,Real Madrid,1994-05-06,24,41,1
2018,Andrej Kramaric,Croatia,FW,1899 Hoffenheim,1991-06-19,26,31,9
2018,Luka Modric,Croatia,MF,Real Madrid,1985-09-09,32,106,12
2018,Marcelo Brozovic,Croatia,MF,Inter Milan,1992-11-16,25,35,6
2018,Lovre Kalinic,Croatia,GK,Gent,1990-04-03,28,11,0
2018,Tin Jedvaj,Croatia,DF,Bayer Leverkusen,1995-11-28,22,12,0
2018,Filip Bradaric,Croatia,MF,Rijeka,1992-01-11,26,4,0
2018,Duje Caleta-Car,Croatia,DF,Red Bull Salzburg,1996-09-17,21,1,0
2018,Nikola Kalinic,Croatia,FW,Milan,1988-01-05,30,42,15
2018,Mario Mandzukic,Croatia,FW,Juventus,1986-05-21,32,83,30
2018,Ante Rebic,Croatia,FW,Eintracht Frankfurt,1993-09-21,24,16,1
2018,Milan Badelj,Croatia,MF,Fiorentina,1989-02-25,29,38,1
2018,Marko Pjaca,Croatia,FW,Schalke 04,1995-05-06,23,16,1
2018,Domagoj Vida,Croatia,DF,Besiktas,1989-04-29,29,59,2
2018,Josip Pivaric,Croatia,DF,Dynamo Kyiv,1989-01-30,29,19,0
2018,Danijel Subasic,Croatia,GK,Monaco,1984-10-27,33,38,0
2018,Hannes Þor Halldorsson,Iceland,GK,Randers,1984-04-27,34,49,0
2018,Birkir Mar Sævarsson,Iceland,DF,Valur,1984-11-11,33,79,1
2018,Samuel Friðjonsson,Iceland,MF,Valerenga,1996-02-22,22,4,0
2018,Albert Guðmundsson (footballer,Iceland,MF,PSV Eindhoven,1997-06-15,20,5,3
2018,Sverrir Ingi Ingason,Iceland,DF,Rostov,1993-08-05,24,20,3
2018,Ragnar Sigurðsson,Iceland,DF,Rostov,1986-06-19,31,77,3
2018,Johann Berg Guðmundsson,Iceland,MF,Burnley,1990-10-27,27,67,7
2018,Birkir Bjarnason,Iceland,MF,Aston Villa,1988-05-27,30,67,9
2018,Bjorn Bergmann Sigurðarson,Iceland,FW,Rostov,1991-02-26,27,12,1
2018,Gylfi Sigurðsson,Iceland,MF,Everton,1989-09-08,28,57,19
2018,Alfreð Finnbogason,Iceland,FW,FC Augsburg,1989-02-01,29,47,13
2018,Frederik Schram,Iceland,GK,Roskilde,1995-01-19,23,4,0
2018,Runar Alex Runarsson,Iceland,GK,Nordsjælland,1995-02-18,23,3,0
2018,Kari Arnason,Iceland,DF,Aberdeen,1982-10-13,35,67,5
2018,Holmar Orn Eyjolfsson,Iceland,DF,Levski Sofia,1990-08-06,27,10,1
2018,Olafur Ingi Skulason,Iceland,MF,Kardemir Karabukspor,1983-04-01,35,36,1
