tournament_year,player_name,team_country,position,club,fifa_ranking,jersey_number,appearances,goals,assists,dribbles_per90,interceptions_per90,tackles_per90,duels_won_per90,save_pct,clean_sheets_pct,kit_sponsor,dob
2022,Leandro Paredes,Argentina,MF,Juventus,2,5.0,5.0,0.0,0.0,0.4,1.21,4.02,9.24,,,Adidas,1994-06-29
2022,Rodrigo De Paul,Argentina,MF,Atletico Madrid,2,7.0,7.0,0.0,0.0,0.6,1.05,1.79,4.64,,,Adidas,1994-05-24
2022,Guido Rodriguez,Argentina,MF,Real Betis,2,18.0,1.0,0.0,0.0,0.0,0.0,3.16,6.32,,,Adidas,1994-04-12
2022,Exequiel Palacios,Argentina,MF,Bayer Leverkusen,2,14.0,3.0,0.0,0.0,0.0,3.83,1.91,7.66,,,Adidas,1998-10-05
2022,Alexis Mac Allister,Argentina,MF,Brighton,2,20.0,6.0,1.0,1.0,0.97,0.49,1.46,5.85,,,Adidas,1998-12-24
2022,Enzo Fernandez,Argentina,MF,Benfica,2,24.0,7.0,1.0,1.0,0.8,0.48,3.52,7.83,,,Adidas,2001-01-17
2022,Alejandro Gomez,Argentina,MF,Atlanta United,2,17.0,2.0,0.0,0.0,0.83,0.83,1.65,8.26,,,Adidas,2001-04-26
2022,Lionel Messi 🐐,Argentina,FW,PSG,2,10.0,7.0,7.0,3.0,3.78,0.0,0.65,6.39,,,Adidas,1987-06-24
2022,Lautaro Martinez,Argentina,FW,Inter,2,22.0,6.0,0.0,0.0,1.89,0.38,0.0,6.81,,,Adidas,1997-08-22
2022,Paulo Dybala,Argentina,FW,Roma,2,21.0,2.0,0.0,0.0,5.62,0.0,,,,,Adidas,1993-11-15
2022,Thiago Almada,Argentina,FW,Inter,2,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Adidas,2001-04-26
2022,Julian Alvarez,Argentina,FW,Manchester City,2,9.0,7.0,4.0,0.0,0.58,0.0,0.77,1.93,,,Adidas,2000-01-31
2022,Angel Di Maria,Argentina,FW,Juventus,2,11.0,5.0,1.0,1.0,6.83,0.31,0.93,7.14,,,Adidas,1988-02-14
2022,Angel Correa,Argentina,FW,Atletico Madrid,2,15.0,1.0,0.0,0.0,0.0,0.0,,,,,Adidas,1995-03-09
2022,Hugo Lloris,France,GK,Tottenham,3,1.0,6.0,,,,,,1.1,70.83,17.0,Nike,1986-12-26
2022,Alphonse Areola,France,GK,West Ham United,3,23.0,,,,,,,,,,Nike,1993-02-27
2022,Steve Mandanda,France,GK,Rennes,3,16.0,1.0,,,,,,0.0,66.67,0.0,Nike,1985-03-28
2022,Benjamin Pavard,France,DF,Bayern Munich,3,2.0,1.0,0.0,0.0,0.0,1.01,0.0,0.0,,,Nike,1996-03-28
2022,Jules Kounde,France,DF,Barcelona,3,5.0,6.0,0.0,0.0,0.56,1.12,2.06,4.87,,,Nike,1998-11-12
2022,Raphael Varane,France,DF,Man Utd,3,4.0,6.0,0.0,0.0,0.17,1.04,0.17,1.9,,,Nike,1993-04-25
2022,Axel Disasi,France,DF,PSG,3,3.0,3.0,0.0,0.0,2.0,2.0,4.0,14.0,,,Nike,1998-03-11
2022,William Saliba,France,DF,Arsenal,3,17.0,1.0,0.0,0.0,3.33,0.0,0.0,6.67,,,Nike,2001-03-24
2022,Theo Hernandez,France,DF,AC Milan,3,22.0,6.0,1.0,2.0,0.35,0.71,2.83,8.68,,,Nike,1994-10-06
2022,Lucas Hernandez,France,DF,Bayern Munich,3,21.0,1.0,0.0,0.0,0.0,0.0,6.92,6.92,,,Nke,1996-02-14
2022,Ibrahima Konate,France,DF,Liverpool,3,24.0,5.0,0.0,0.0,0.0,2.16,4.62,8.94,,,Nike,1999-05-25
2022,Dayot Upamecano,France,DF,Bayern Munich,3,18.0,5.0,0.0,0.0,0.0,1.12,2.06,5.25,,,Nike,1998-10-27
2022,Adrien Rabiot,France,MF,Juventus,3,14.0,6.0,1.0,1.0,0.75,1.86,2.24,8.95,,,Nike,1995-04-03
2022,Aurelien Tchouaméni,France,MF,Real Madrid,3,8.0,7.0,1.0,0.0,0.72,2.02,1.59,4.91,,,Nike,2000-01-27
2022,Youssouf Fofana,France,MF,Monaco,3,19.0,6.0,0.0,0.0,0.8,1.21,3.21,5.22,,,Nike,1999-01-10
2022,Matteo Guendouzi,France,MF,Marseille,3,6.0,1.0,0.0,0.0,0.0,0.0,1.14,4.56,,,Nike,1999-04-14
2022,Jordan Veretout,France,MF,Marseille,3,15.0,1.0,0.0,0.0,0.0,0.0,2.86,2.86,,,Nike,1999-03-01
2022,Eduardo Camavinga,France,MF,Real Madrid,3,25.0,2.0,0.0,0.0,1.94,1.94,9.06,17.48,,,Nike,2002-11-10
2022,Kingsley Coman,France,FW,Bayern Munich,3,20.0,6.0,0.0,0.0,4.91,1.64,1.64,8.73,,,Nike,1996-06-13
2022,Kylian Mbappe,France,FW,PSG,3,10.0,7.0,8.0,2.0,7.24,0.0,0.0,5.12,,,Nike,1998-12-20
2022,Olivier Giroud,France,FW,AC Milan,3,9.0,6.0,4.0,0.0,0.0,0.21,0.21,9.12,,,Nike,1986-09-30
2022,Antoine Griezmann,France,FW,Atletico Madrid,3,7.0,7.0,0.0,3.0,1.51,1.34,2.34,6.19,,,Nike,1991-03-21
2022,Ousmane Dembele,France,FW,Barcelona,3,11.0,7.0,0.0,2.0,3.9,0.62,2.47,5.75,,,Nike,1997-05-15
2022,Randal Kolo Muani,France,FW,Eintracht Frankfurt,3,12.0,3.0,1.0,0.0,3.5,0.5,3.5,16.5,,,Nike,1998-12-05
2022,Marcus Thuram,France,FW,Borussia Monchengladbach,3,26.0,5.0,1.0,2.0,5.55,0.0,1.85,18.49,,,Nike,1997-08-06
2022,Dominik Livakovic,Croatia,GK,Dinamo Zagreb,7,1.0,7.0,,,,,,0.26,78.12,28.0,Nike,1995-01-09
2022,Ivica Ivusic,Croatia,GK,Osijek,7,23.0,,,,,,,,,,Nike,1995-02-01
2022,Ivo Grbic,Croatia,GK,Atletico Madrid,7,12.0,,,,,,,,,,Nike,1996-01-18
2022,Domagoj Vida,Croatia,DF,AEK Athens,7,21.0,,,,,,,,,,Nike,1989-04-29
2022,Dejan Lovren,Croatia,DF,Zenit,7,6.0,6.0,0.0,1.0,0.0,1.38,0.9,6.34,,,Nike,1989-07-05
2022,Borna Barisic,Croatia,DF,Rangers,7,3.0,1.0,0.0,0.0,0.0,0.0,0.75,11.25,,,Nike,1992-11-10
2022,Josip Juranovic,Croatia,DF,Celtic,7,22.0,6.0,0.0,1.0,0.3,0.3,1.8,3.15,,,Nike,1995-08-16
2022,Borna Sosa,Croatia,DF,Stuttgart,7,19.0,5.0,0.0,0.0,0.85,0.42,2.96,5.5,,,Nike,1998-01-21
2022,Josko Gvardiol,Croatia,DF,RB Leipzig,7,20.0,7.0,1.0,0.0,0.13,1.57,1.3,3.0,,,Nike,2002-01-23
2022,Josip Stanisic,Croatia,DF,Bayern Munich,7,2.0,1.0,0.0,0.0,0.0,1.0,3.0,7.0,,,Nike,2000-04-02
2022,Martin Erlic,Croatia,DF,Sassuolo,7,5.0,,,,,,,,,,Nike,1998-01-24
2022,Josip Sutalo,Croatia,DF,Dinamo Zagreb,7,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Nike,2000-02-28
2022,Luka Modric,Croatia,MF,Real Madrid,7,10.0,7.0,0.0,0.0,1.37,1.23,2.06,5.35,,,Nike,1985-09-09
2022,Mateo Kovacic,Croatia,MF,Chelsea,7,8.0,7.0,0.0,0.0,2.39,0.56,3.38,7.31,,,Nike,1994-05-06
2022,Marcelo Brozovic,Croatia,MF,Inter,7,11.0,6.0,0.0,0.0,0.97,0.65,2.11,6.01,,,Nike,1992-11-16
2022,Mario Pasalic,Croatia,MF,Atalanta,7,15.0,7.0,0.0,0.0,1.35,1.01,2.36,7.08,,,Nike,1995-02-09
2022,Nikola Vlasic,Croatia,MF,Torino,7,13.0,6.0,0.0,0.0,2.18,0.44,0.44,6.11,,,Nike,1997-10-04
2022,Lovro Majer,Croatia,MF,Rennes,7,7.0,7.0,1.0,0.0,1.43,0.71,2.14,4.29,,,Nike,1998-01-17
2022,Kristijan Jakic,Croatia,MF,Eintracht Frankfurt,7,26.0,1.0,,,,,,,,,Nike,1997-05-14
2022,Luka Sucic,Croatia,MF,Red Bull Salzburg,7,25.0,,,,,,,,,,Nike,2002-09-08
2022,Ivan Perisic,Croatia,FW,Tottenham,7,4.0,7.0,1.0,3.0,1.61,0.94,0.8,6.03,,,Nike,1989-02-02
2022,Andrej Kramaric,Croatia,FW,Hoffenheim,7,9.0,7.0,2.0,0.0,1.31,0.0,0.56,2.06,,,Nike,1991-06-19
2022,Bruno Petkovic,Croatia,FW,Dinamo Zagreb,7,16.0,6.0,1.0,0.0,1.17,0.0,2.35,14.48,,,Nike,1997-09-16
2022,Mislav Orsic,Croatia,FW,Dinamo Zagreb,7,18.0,6.0,1.0,2.0,1.71,0.0,1.71,2.28,,,Nike,1992-12-29
2022,Ante Budimir,Croatia,FW,Osasuna,7,17.0,2.0,0.0,0.0,0.0,0.0,1.67,,,,Nike,1991-07-22
2022,Marko Livaja,Croatia,FW,Hajduk Split,7,14.0,6.0,1.0,1.0,0.75,0.37,0.37,4.48,,,Nike,1993-08-26
2022,Yassine Bounou,Morocco,GK,Sevilla,11,1.0,6.0,,,,,,0.64,58.33,50.0,Puma,1991-04-05
2022,Munir Mohamedi,Morocco,GK,Al Wehda,11,12.0,1.0,,,,,,,100.0,100.0,Puma,1989-05-10
2022,Ahmed Reda Tagnaouti,Morocco,GK,Wydad AC,11,22.0,0.0,,,,,,,0.0,0.0,Puma,1996-04-05
2022,Achraf Hakimi,Morocco,DF,PSG,11,2.0,7.0,0.0,1.0,1.56,1.28,3.84,7.39,,,Puma,1998-11-04
2022,Noussair Mazraoui,Morocco,DF,Bayern Munich,11,3.0,5.0,0.0,0.0,0.98,0.24,3.42,4.4,,,Puma,1997-11-14
2022,Nayef Aguerd,Morocco,DF,West Ham,11,5.0,4.0,0.0,0.0,0.0,0.76,1.02,3.56,,,Puma,1996-03-30
2022,Roman Saiss,Morocco,DF,Besiktas,11,6.0,6.0,0.0,0.0,0.19,0.58,0.77,3.47,,,Puma,1990-03-26
2022,Achraf Dari,Morocco,DF,Brest,11,20.0,3.0,1.0,0.0,0.0,2.89,0.48,5.78,,,Puma,1999-05-06
2022,Yahia Attiyat Allah,Morocco,DF,Wydad AC,11,25.0,6.0,0.0,1.0,0.29,0.0,1.15,2.01,,,Puma,1995-03-02
2022,Badr Benoun,Morocco,DF,Qatar SC,11,24.0,3.0,0.0,0.0,0.0,1.76,0.0,0.0,,,Puma,1993-09-30
2022,Jawad El Yamiq,Morocco,DF,Valladolid,11,18.0,6.0,0.0,0.0,0.0,1.46,1.17,5.26,,,Puma,1992-02-29
2022,Sofyan Amrabat,Morocco,MF,Fiorentina,11,4.0,7.0,0.0,0.0,0.14,0.82,2.32,3.68,,,Puma,1996-08-21
2022,Abdelhamid Sabiri,Morocco,MF,Sampdoria,11,11.0,5.0,1.0,0.0,1.5,2.5,1.5,4.0,,,Puma,1996-11-28
2022,Selim Amallah,Morocco,MF,Standard Liege,11,15.0,7.0,0.0,0.0,0.66,1.76,2.85,6.37,,,Puma,1996-11-15
2022,Azzedine Ounahi,Morocco,MF,Angers,11,8.0,7.0,0.0,0.0,1.89,0.95,1.26,5.21,,,Puma,2000-04-19
2022,Bilal El Khannous,Morocco,MF,Genk,11,23.0,1.0,0.0,0.0,0.0,0.0,0.0,1.61,,,Puma,2004-05-10
2022,Yahya Jabrane,Morocco,MF,Wydad AC,11,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Puma,1991-06-18
2022,Hakim Ziyech,Morocco,FW,Chelsea,11,7.0,7.0,1.0,1.0,3.67,1.27,1.41,4.65,,,Puma,1993-03-19
2022,Sofiane Boufal,Morocco,FW,Angers,11,17.0,7.0,0.0,0.0,4.11,0.37,1.87,8.03,,,Puma,1993-09-17
2022,Zakaria Aboukhlal,Morocco,FW,Toulouse,11,14.0,4.0,1.0,0.0,1.23,1.23,0.0,4.94,,,Puma,2000-02-18
2022,Anass Zaroury,Morocco,FW,Burnley,11,10.0,1.0,0.0,0.0,,,,,,,Puma,2000-11-07
2022,Abde Ezzalzouli,Morocco,FW,Osasuna,11,16.0,3.0,0.0,0.0,,,,,,,Puma,2001-12-17
2022,Ilias Chair,Morocco,FW,QPR,11,13.0,1.0,0.0,0.0,2.05,0.0,2.05,2.05,,,Puma,1997-10-30
2022,Youssef En-Nesyri,Morocco,FW,Sevilla,11,19.0,7.0,2.0,0.0,1.15,0.16,0.66,8.23,,,Puma,1997-06-01
2022,Walid Cheddira,Morocco,FW,Bari,11,21.0,2.0,0.0,0.0,1.43,0.0,1.43,7.15,,,Puma,1998-01-22
2022,Abderrazak Hamdallah,Morocco,FW,Al-Ittihad,11,9.0,4.0,0.0,0.0,4.22,0.0,1.41,,,,Puma,1990-12-17
2022,Justin Bijlow,Netherlands,GK,Feyenoord,6,13.0,0.0,,,,,,,,,Nike,1998-01-22
2022,Remko Pasveer,Netherlands,GK,Ajax,6,1.0,0.0,,,,,,,,,Nike,1983-11-08
2022,Andries Noppert,Netherlands,GK,Heerenveen,6,23.0,5.0,,,,,,,81.82,40.0,Nike,1994-04-07
2022,Daley Blind,Netherlands,DF,Ajax,6,17.0,5.0,1.0,1.0,0.42,1.06,2.76,4.88,,,Nike,1990-03-09
2022,Stefan de Vrij,Netherlands,DF,Inter,6,6.0,,,,,,,,,,Nike,1992-02-05
2022,Virgil van Dijk,Netherlands,DF,Liverpool,6,4.0,5.0,0.0,0.0,0.0,0.75,0.38,9.0,,,Nike,1991-07-08
2022,Matthijs de Ligt,Netherlands,DF,Bayern Munich,6,3.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,,,Nike,1999-08-12
2022,Denzel Dumfries,Netherlands,DF,Inter,6,22.0,5.0,1.0,2.0,1.12,1.31,1.5,6.19,,,Nike,1996-04-18
2022,Nathan Ake,Netherlands,DF,Manchester City,6,5.0,5.0,0.0,0.0,0.0,1.5,1.12,6.0,,,Nike,1995-02-18
2022,Jurrien Timber,Netherlands,DF,Ajax,6,2.0,4.0,0.0,0.0,,,,,,,Nike,2001-06-17
2022,Tyrell Malacia,Netherlands,DF,Manchester United,6,16.0,,,,,,,,,,Nike,1999-06-17
2022,Jeremie Frimpong,Netherlands,DF,Bayer Leverkusen,6,26.0,,,,,,,,,,Nike,2000-12-10
2022,Frenkie de Jong,Netherlands,MF,Barcelona,6,21.0,5.0,1.0,1.0,1.13,1.13,2.65,7.18,,,Nike,1997-05-12
2022,Steven Berghuis,Netherlands,MF,Ajax,6,11.0,4.0,0.0,1.0,1.82,0.0,0.91,2.27,,,Nike,1991-12-19
2022,Maarten de Roon,Netherlands,MF,Atalanta,6,15.0,5.0,0.0,0.0,0.0,0.98,3.42,7.34,,,Nike,1991-03-29
2022,Teun Koopmeiners,Netherlands,MF,Atalanta,6,20.0,5.0,0.0,1.0,0.41,1.24,4.15,9.12,,,Nike,1998-02-28
2022,Kenneth Taylor,Netherlands,MF,Ajax,6,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Nike,2002-05-16
2022,Xavi Simons,Netherlands,MF,PSV,6,25.0,1.0,0.0,0.0,0.0,12.86,0.0,,,,Nike,2003-04-21
2022,Davy Klaassen,Netherlands,MF,Ajax,6,14.0,4.0,1.0,2.0,0.47,0.47,1.41,3.75,,,Nike,1993-02-21
2022,Memphis Depay,Netherlands,FW,Barcelona,6,10.0,2.0,1.0,0.0,3.88,0.0,1.55,6.21,,,Nike,1994-02-13
2022,Luuk de Jong,Netherlands,FW,PSV,6,9.0,1.0,0.0,0.0,0.0,0.0,3.21,14.46,,,Nike,1990-08-27
2022,Steven Bergwijn,Netherlands,FW,Ajax,6,7.0,4.0,0.0,0.0,0.84,0.0,0.42,2.09,,,Nike,1997-10-08
2022,Vincent Janssen,Netherlands,FW,Antwerp,6,18.0,2.0,0.0,0.0,0.0,0.0,2.09,6.28,,,Nike,1994-06-15
2022,Wout Weghorst,Netherlands,FW,Besiktas,6,19.0,4.0,2.0,0.0,0.0,0.0,0.0,4.43,,,Nike,1992-08-07
2022,Cody Gakpo,Netherlands,FW,PSV,6,8.0,5.0,3.0,0.0,1.78,0.59,1.59,5.35,,,Nike,1999-05-07
2022,Noa Lang,Netherlands,FW,Club Brugge,6,12.0,1.0,0.0,0.0,0.0,12.86,0.0,0.0,,,Nike,1999-06-17
2022,Jordan Pickford,England,GK,Everton,5,1.0,5.0,,,,,,,63.64,60.0,Nike,1994-03-07
2022,Nick Pope,England,GK,Newcastle United,5,13.0,,,,,,,,,,Nike,1992-04-19
2022,Aaron Ramsdale,England,GK,Arsenal,5,23.0,,,,,,,,,,Nike,1998-05-14
2022,Trent Alexander-Arnold,England,DF,Liverpool,5,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Nike,1998-10-07
2022,Conor Coady,England,DF,Everton,5,16.0,,,,,,,,,,Nike,1993-02-25
2022,Eric Dier,England,DF,Tottenham,5,15.0,2.0,0.0,0.0,0.0,0.0,2.65,7.94,,,Nike,1994-01-15
2022,Harry Maguire,England,DF,Manchester United,5,6.0,5.0,0.0,1.0,0.42,0.84,1.47,8.16,,,Nike,1993-03-05
2022,Luke Shaw,England,DF,Manchester United,5,3.0,5.0,0.0,1.0,0.42,1.06,0.64,3.18,,,Nike,1995-07-12
2022,John Stones,England,DF,Manchester City,5,5.0,5.0,0.0,0.0,0.21,0.21,0.41,3.3,,,Nike,1994-05-28
2022,Kieran Trippier,England,DF,Newcastle United,5,12.0,3.0,0.0,0.0,0.88,0.44,2.63,6.59,,,Nike,1990-09-19
2022,Kyle Walker,England,DF,Manchester City,5,2.0,3.0,0.0,0.0,0.76,0.76,1.14,6.08,,,Nike,1990-05-28
2022,Jude Bellingham,England,MF,Borussia Dortmund,5,22.0,5.0,1.0,1.0,3.04,1.3,3.26,8.26,,,Nike,2003-06-29
2022,Conor Gallagher,England,MF,Chelsea,5,26.0,,,,,,,,,,Nike,2000-02-06
2022,Jordan Henderson,England,MF,Liverpool,5,8.0,4.0,1.0,0.0,0.0,0.33,1.32,3.96,,,Nike,1990-06-17
2022,Mason Mount,England,MF,Chelsea,5,19.0,4.0,0.0,0.0,1.45,0.0,0.97,6.29,,,Nike,1999-01-10
2022,Kalvin Phillips,England,MF,Manchester City,5,14.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,,,Nike,1995-12-02
2022,Declan Rice,England,MF,West Ham United,5,4.0,5.0,0.0,0.0,0.43,2.37,1.29,3.02,,,Nike,1999-01-14
2022,Phil Foden,England,MF,Manchester City,5,20.0,4.0,1.0,2.0,1.39,0.35,0.35,4.86,,,Nike,2000-05-28
2022,Jack Grealish,England,MF,Manchester City,5,7.0,5.0,1.0,0.0,5.49,3.29,3.29,17.56,,,Nike,1995-09-10
2022,Harry Kane,England,FW,Tottenham,5,9.0,5.0,2.0,3.0,1.57,0.0,0.45,6.94,,,Nike,1993-07-28
2022,James Maddison,England,FW,Leicester City,5,25.0,,,,,,,,,,Nike,1996-11-13
2022,Marcus Rashford,England,FW,Manchester United,5,11.0,5.0,3.0,0.0,5.26,0.66,0.66,4.6,,,Nike,1997-10-31
2022,Bukayo Saka,England,FW,Arsenal,5,17.0,4.0,3.0,0.0,2.47,0.62,2.16,5.24,,,Nike,2001-09-05
2022,Raheem Sterling,England,FW,Chelsea,5,10.0,3.0,1.0,1.0,1.81,0.6,0.6,4.22,,,Nike,1994-12-08
2022,Callum Wilson,England,FW,Newcastle United,5,24.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,,,Nike,1992-02-27
2022,Alisson,Brazil,GK,Liverpool,1,1.0,4.0,,,,,,,71.43,50.0,Nike,1992-10-02
2022,Ederson,Brazil,GK,Manchester City,1,23.0,1.0,,,,,,,66.67,0.0,Nike,1993-08-17
2022,Weverton,Brazil,GK,Palmeiras,1,12.0,1.0,,,,,,,0.0,0.0,Nike,1987-12-13
2022,Dani Alves,Brazil,DF,UNAM,1,13.0,2.0,0.0,0.0,0.77,1.54,3.85,7.69,,,Nike,1983-05-06
2022,Thiago Silva,Brazil,DF,Chelsea,1,3.0,4.0,0.0,1.0,0.0,1.15,0.69,4.15,,,Nike,1984-09-22
2022,Marquinhos,Brazil,DF,PSG,1,4.0,5.0,0.0,0.0,0.21,0.42,1.06,3.39,,,Nike,1994-05-14
2022,Danilo,Brazil,DF,Juventus,1,2.0,3.0,0.0,0.0,0.0,0.96,1.6,4.47,,,Nike,1991-07-15
2022,Alex Sandro,Brazil,DF,Juventus,1,6.0,3.0,0.0,0.0,0.95,1.42,3.79,7.11,,,Nike,1991-01-26
2022,Eder Militao,Brazil,DF,Real Madrid,1,14.0,4.0,0.0,0.0,0.0,0.77,1.55,4.38,,,Nike,1998-01-18
2022,Alex Telles,Brazil,DF,Sevilla,1,16.0,1.0,0.0,0.0,0.0,0.0,3.1,6.21,,,Nike,1992-12-15
2022,Bremer,Brazil,DF,Juventus,1,24.0,2.0,0.0,0.0,0.0,0.83,0.83,9.17,,,Nike,1997-03-18
2022,Casemiro,Brazil,MF,Manchester United,1,5.0,4.0,1.0,0.0,0.46,1.38,2.54,4.84,,,Nike,1992-02-23
2022,Lucas Paqueta,Brazil,MF,West Ham,1,7.0,4.0,1.0,1.0,0.28,0.61,2.58,8.65,,,Nike,1997-08-27
2022,Fabinho,Brazil,MF,Liverpool,1,15.0,1.0,0.0,0.0,0.0,1.0,3.0,5.0,,,Nike,1993-10-23
2022,Fred,Brazil,MF,Manchester United,1,8.0,4.0,0.0,0.0,0.64,0.0,1.28,3.83,,,Nike,1993-03-05
2022,Everton Ribeiro,Brazil,MF,Flamengo,1,22.0,1.0,0.0,0.0,2.5,0.0,2.5,2.5,,,Nike,1989-04-10
2022,Bruno Guimaraes,Brazil,MF,Newcastle United,1,17.0,2.0,0.0,0.0,2.5,0.0,0.0,5.0,,,Nike,1997-11-16
2022,Neymar,Brazil,FW,PSG,1,10.0,3.0,2.0,1.0,5.81,0.32,0.32,7.1,,,Nike,1992-02-05
2022,Gabriel Jesus,Brazil,FW,Arsenal,1,18.0,3.0,0.0,0.0,1.96,1.96,1.96,8.81,,,Nike,1997-04-03
2022,Richarlison,Brazil,FW,Tottenham,1,9.0,4.0,3.0,0.0,1.1,0.28,0.55,4.41,,,Nike,1997-05-10
2022,Vinicius Jr,Brazil,FW,Real Madrid,1,20.0,4.0,1.0,2.0,3.89,0.0,1.2,4.49,,,Nike,2000-07-12
2022,Antony,Brazil,FW,Manchester United,1,19.0,4.0,0.0,0.0,6.84,0.53,1.58,6.85,,,Nike,2000-02-24
2022,Raphinha,Brazil,FW,Barcelona,1,11.0,5.0,0.0,0.0,2.84,0.85,2.27,4.54,,,Nike,1996-12-14
2022,Rodrygo,Brazil,FW,Real Madrid,1,21.0,5.0,0.0,1.0,3.02,1.01,2.01,5.53,,,Nike,2001-01-09
2022,Gabriel Matinelli,Brazil,FW,Arsenal,1,26.0,2.0,0.0,0.0,5.68,0.0,1.62,6.49,,,Nike,2001-06-18
2022,Pedro,Brazil,FW,Flamengo,1,25.0,2.0,0.0,0.0,0.0,1.45,2.9,14.51,,,Nike,1997-06-20
2022,Diogo Costa,Portugal,GK,Porto,9,22.0,5.0,,,,,,,64.17,20.0,Nike,1999-09-19
2022,Rui Patricio,Portugal,GK,Roma,9,1.0,0.0,,,,,,,,,Nike,1988-02-15
2022,Jose Sa,Portugal,GK,Wolves,9,12.0,0.0,,,,,,,,,Nike,1993-01-17
2022,Diogo Dalot,Portugal,DF,Manchester United,9,2.0,3.0,0.0,1.0,0.69,0.69,2.78,7.64,,,Nike,1999-03-18
2022,Danilo Pereira,Portugal,DF,PSG,9,13.0,1.0,0.0,0.0,1.0,3.0,1.0,14.0,,,Nike,1991-09-09
2022,Pepe,Portugal,DF,Porto,9,3.0,4.0,1.0,0.0,0.25,1.5,1.25,7.25,,,Nike,1983-02-26
2022,Ruben Dias,Portugal,DF,Manchester City,9,4.0,4.0,0.0,0.0,0.0,0.75,0.75,3.75,,,Nike,1997-05-14
2022,Antonio Silva,Portugal,DF,Benfica,9,24.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,,,Nike,2003-10-30
2022,Nuno Mendes,Portugal,DF,PSG,9,19.0,1.0,0.0,0.0,4.29,4.29,0.0,12.85,,,Nike,2002-06-19
2022,Joao Cancelo,Portugal,DF,Manchester City,9,20.0,4.0,0.0,0.0,2.62,0.58,2.04,10.19,,,Nike,1994-05-27
2022,Raphael Guerreiro,Portugal,DF,Borussia Dortmund,9,5.0,4.0,1.0,2.0,0.65,0.97,0.97,3.23,,,Nike,1993-12-22
2022,Joao Palhinha,Portugal,MF,Fulham,9,6.0,3.0,0.0,0.0,2.57,2.57,5.14,5.14,,,Nike,1995-07-09
2022,Ruben Neves,Portugal,MF,Wolves,9,18.0,5.0,0.0,0.0,0.0,0.66,0.33,2.32,,,Nike,1997-03-13
2022,Bernardo Silva,Portugal,MF,Manchester City,9,10.0,5.0,0.0,0.0,0.5,0.5,0.5,1.76,,,Nike,1994-08-10
2022,Bruno Fernandes,Portugal,MF,Manchester United,9,8.0,4.0,2.0,3.0,0.76,0.5,0.76,4.28,,,Nike,1994-09-08
2022,Joao Mario,Portugal,MF,Benfica,9,17.0,2.0,0.0,0.0,1.08,0.0,2.17,2.17,,,Nike,1993-01-19
2022,Matheus Nunes,Portugal,MF,Wolves,9,23.0,2.0,0.0,0.0,1.23,0.0,0.0,3.7,,,Nike,1998-08-27
2022,Otavio,Portugal,MF,Porto,9,25.0,3.0,0.0,0.0,,,,,,,Nike,1995-02-09
